Year,RO,HR,County,Grain,Rice,Cotton,Sugar Beets,Corn,Dry Beans, Safflower,Other Field Crops, Alfalfa,Pasture,Tomato Processing,Tomato Fresh,Cucurbits, Onions & Garlic, Potatoes,Truck Crops, Almonds & Pistachios, Other Deciduous, Citrus & Subtropical, Vineyard,Avg. AW
2015,NCRO,1_North Coast,23_Mendocino,0,0,0,0,1.69,0,0,2.85,3.61,3.28,0,0,1.29,0,0,2.46,0,2.61,2.28,1.86,2.03
2015,NCRO,1_North Coast,49_Sonoma,1.34,0,0,0,2.29,0,0,2.66,0,4.16,0,0,1.73,0,0,2.56,0,3.23,2.4,1.46,1.77
2015,NCRO,1_North Coast,21_Marin,0.83,0,0,0,0,0,0,0,0,3.13,0,0,0,0,0,1.85,0,2.74,1.97,0.94,1.93
2015,NCRO,2_San Francisco Bay,28_Napa,0.94,0,0,0,2.36,0,0,2.21,4.25,4.45,0,0,1.85,3.02,0,2.17,0,4.06,2.63,1.48,1.54
2015,NCRO,2_San Francisco Bay,48_Solano,1.01,0,0,0,2.24,1.85,1.4,2.42,4.23,4.49,2.74,0,2.15,3.48,0,2.39,3.55,3.88,2.88,2.79,3.14
2015,NCRO,2_San Francisco Bay,41_San Mateo,0.52,0,0,0,0,0.9,0,1.43,0,2.53,0,0,1.3,1.29,0,1.59,0,2.31,2.06,1.09,1.58
2015,NCRO,2_San Francisco Bay,43_Santa Clara,0.91,0,0,0,1.43,1.24,0,2.07,3.08,3.72,1.89,1.56,1.29,2.47,0,2.41,2.77,3.1,2.54,1.09,1.92
2015,NCRO,2_San Francisco Bay,01_Alameda,0,0,0,0,0,0,0,0,3.82,4.1,0,0,0,0,0,2.49,2.17,2.83,2.19,1.8,2.42
2015,NCRO,2_San Francisco Bay,07_Contra Costa,0.83,0,0,0,2.32,0,0,0,3.76,3.94,1.86,0,2.76,0,0,1.87,0,3.11,2.42,1.98,2.39
2015,NCRO,5_Sacramento River,29_Nevada,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,3.77,0,3.99,0,1.91,4.18
2015,NCRO,5_Sacramento River,31_Placer,1.17,2.92,0,0,2.73,0,0,2.37,4.43,4.78,0,0,2.42,0,0,3.58,3.7,3.75,3.36,2.41,3.84
2015,NCRO,5_Sacramento River,46_Sierra,0,0,0,0,0,0,0,0,0,3.27,0,0,0,0,0,0,0,2.55,0,0,3.25
2015,NCRO,5_Sacramento River,58_Yuba,0.96,2.88,0,0,2.51,0,0,2.19,4.03,4.36,0,0,2.05,0,0,2.2,4.65,3.97,3.02,2.55,3.39
2015,NCRO,5_Sacramento River,09_El Dorado,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,2.33,0,3.83,3.22,2.47,3.09
2015,NCRO,5_Sacramento River,57_Yolo,1.19,2.99,0,0,2.29,1.99,1.39,2.24,4.15,4.71,2.84,2.49,3.53,4.76,0,2.87,4.01,3.85,3.08,2.85,2.93
2015,NCRO,5_Sacramento River,51_Sutter,1.02,2.92,2.84,0,2.48,2.23,2.16,2.16,4.1,4.63,2.83,0,2.83,3.59,0,2.45,4.63,4.03,2.72,2.8,3.17
2015,NCRO,5_Sacramento River,34_Sacramento,1.16,2.98,0,0,2.19,2.16,1.35,2.41,4.4,4.88,2.84,0,2.34,3.52,3.16,2.48,3.92,3.61,3.42,2.52,2.84
2015,NCRO,5_Sacramento River,03_Amador,0,0,0,0,2.63,0,2.11,0,4.57,4.77,0,0,0,0,0,4.23,0,4.23,2.78,2.71,3.44
2015,NCRO,6_San Joaquin River,05_Calaveras,1.17,0,0,0,0,0,0,0,0,4.57,0,0,0,0,0,3.64,4.64,3.65,3.29,2.02,3.46
2015,NCRO,6_San Joaquin River,39_San Joaquin,0.14,2.98,2.76,0,1.59,1.51,1.05,2.92,4.22,4.81,1.84,0,1.86,1.5,1.64,2.53,3.81,3.83,3.36,2.7,2.85
2015,SCRO,5_Sacramento River,02_Alpine,0,0,0,0,0,0,0,0,2.88,3,0,0,0,0,0,0,0,0,0,0,2.99
2015,SCRO,6_San Joaquin River,55_Tuolumne,0,0,0,0,0,0,0,2.53,0,4.58,0,0,0,0,0,3.93,0,3.89,3.2,3.49,4.35
2015,SCRO,8_North Lahontan,26_Mono,0,0,0,0,0,0,0,0,0,3.29,2.01,0,0,0,0,0,0,0,0,0,2.11
