Year,RO,HR,County,Grain,Rice,Cotton,Sugar Beets,Corn,Dry Beans, Safflower,Other Field Crops, Alfalfa,Pasture,Tomato Processing,Tomato Fresh,Cucurbits, Onions & Garlic, Potatoes,Truck Crops, Almonds & Pistachios, Other Deciduous, Citrus & Subtropical, Vineyard,Avg. ETaw
2015,NCRO,1_North Coast,23_Mendocino,0,0,0,0,1.58,0,0,2.45,3.11,2.85,0,0,1.23,0,0,2.12,0,2.19,2.12,1.76,1.88
2015,NCRO,1_North Coast,49_Sonoma,1.13,0,0,0,1.95,0,0,2.27,0,3.43,0,0,1.52,0,0,2.29,0,2.85,2.27,1.38,1.62
2015,NCRO,1_North Coast,21_Marin,0.74,0,0,0,0,0,0,0,0,2.76,0,0,0,0,0,1.58,0,2.38,1.87,0.89,1.7
2015,NCRO,2_San Francisco Bay,28_Napa,0.79,0,0,0,2.03,0,0,2.04,3.52,3.72,0,0,1.76,2.87,0,1.93,0,3.44,2.45,1.4,1.45
2015,NCRO,2_San Francisco Bay,48_Solano,0.87,0,0,0,1.91,1.57,1.25,2.06,3.59,3.86,2.33,0,1.89,3.03,0,2.09,3.2,3.34,2.61,2.59,2.7
2015,NCRO,2_San Francisco Bay,41_San Mateo,0.43,0,0,0,0,0.78,0,1.21,0,2.09,0,0,1.24,1.13,0,1.36,0,1.97,1.95,1.03,1.37
2015,NCRO,2_San Francisco Bay,43_Santa Clara,0.75,0,0,0,1.36,1.13,0,1.79,2.54,3.08,1.8,1.48,1.23,2.32,0,2.14,2.41,2.69,2.4,1.03,1.7
2015,NCRO,2_San Francisco Bay,01_Alameda,0,0,0,0,0,0,0,0,3.21,3.52,0,0,0,0,0,2.19,2.07,2.4,2.01,1.71,2.18
2015,NCRO,2_San Francisco Bay,07_Contra Costa,0.71,0,0,0,2,0,0,0,3.16,3.31,1.73,0,2.46,0,0,1.67,0,2.64,2.15,1.82,2.06
2015,NCRO,5_Sacramento River,29_Nevada,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0,3.24,0,3.31,0,1.74,3.48
2015,NCRO,5_Sacramento River,31_Placer,1.01,2.71,0,0,2.32,0,0,2.22,3.72,4.03,0,0,2.11,0,0,3.2,3.44,3.31,2.92,2.28,3.35
2015,NCRO,5_Sacramento River,46_Sierra,0,0,0,0,0,0,0,0,0,2.77,0,0,0,0,0,0,0,2.11,0,0,2.75
2015,NCRO,5_Sacramento River,58_Yuba,0.89,2.68,0,0,2.14,0,0,2.03,3.62,3.84,0,0,1.95,0,0,2.09,4.09,3.53,2.68,2.42,3.07
2015,NCRO,5_Sacramento River,09_El Dorado,0,0,0,0,0,0,0,0,0,3.47,0,0,0,0,0,2.04,0,3.32,2.93,2.34,2.77
2015,NCRO,5_Sacramento River,57_Yolo,1.02,2.78,0,0,1.99,1.69,1.25,1.98,3.64,4.15,2.49,2.27,3.07,4.15,0,2.46,3.65,3.39,2.84,2.71,2.6
2015,NCRO,5_Sacramento River,51_Sutter,0.92,2.72,2.51,0,2.13,1.86,1.92,1.83,3.66,4.09,2.37,0,2.46,3.12,0,2.12,4.15,3.53,2.43,2.57,2.84
2015,NCRO,5_Sacramento River,34_Sacramento,1.04,2.77,0,0,1.93,1.85,1.21,2.13,3.73,4.16,2.45,0,2.04,3.06,2.69,2.21,3.55,3.13,3.14,2.4,2.51
2015,NCRO,5_Sacramento River,03_Amador,0,0,0,0,2.26,0,1.8,0,3.84,4.01,0,0,0,0,0,3.76,0,3.59,2.44,2.49,3.02
2015,NCRO,6_San Joaquin River,05_Calaveras,0.99,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0,3.24,4.08,3.11,2.89,1.85,2.97
2015,NCRO,6_San Joaquin River,39_San Joaquin,0.12,2.76,2.35,0,1.36,1.3,0.9,2.48,3.55,4.04,1.72,0,1.66,1.38,1.53,2.25,3.35,3.26,2.96,2.49,2.49
2015,SCRO,5_Sacramento River,02_Alpine,0,0,0,0,0,0,0,0,2.48,2.58,0,0,0,0,0,0,0,0,0,0,2.57
2015,SCRO,6_San Joaquin River,55_Tuolumne,0,0,0,0,0,0,0,2.41,0,3.94,0,0,0,0,0,3.57,0,3.64,3.04,3.32,3.82
2015,SCRO,8_North Lahontan,26_Mono,0,0,0,0,0,0,0,0,0,2.79,1.81,0,0,0,0,0,0,0,0,0,1.89
